Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2019/11/20,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2019/11/25,143,SIFCPO,36.54,120.0,120.0,120.0,120.0,120.00,0.0,0.0,120.00,"11,064.00",120.00,"1,327,680.00",1,0.0,0.0,0.0,0.0,0.0,,,120.00,0.00
2019/11/28,142,SIFCPO,35.25,120.0,120.0,120.0,120.0,120.00,0.0,0.0,120.00,"18,232.00",120.00,"2,187,840.00",1,0.0,0.0,0.0,0.0,0.0,,,120.00,120.00
2019/12/03,146,SIFCPO,36.22,120.0,120.0,120.0,120.0,120.00,0.0,0.0,120.00,"19,210.00",120.00,"2,305,200.00",2,0.0,0.0,0.0,0.0,0.0,,,120.00,120.00
2019/08/25,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2019/06/02,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2019/04/21,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2019/03/10,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2018/09/19,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2018/12/13,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2019/08/19,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2018/06/17,137,SIFCPO,-,120.0,120.0,120.0,120.0,120.00,0.0,0.0,120.00,"44,433.00",120.00,"5,331,960.00",2,0.0,0.0,0.0,0.0,0.0,,,275.00,275.00
2018/05/16,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2018/04/06,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2018/02/25,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2017/11/16,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2017/10/19,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2017/09/06,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2017/06/12,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2017/04/30,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
